"111k -- Kasvihuonekaasupäästöt Suomessa, 1990-2017"

"Kasvihuonekaasu","Päästöluokka","Päästö, tuhatta tonnia CO2-ekv. 1990","Päästö, tuhatta tonnia CO2-ekv. 1991","Päästö, tuhatta tonnia CO2-ekv. 1992","Päästö, tuhatta tonnia CO2-ekv. 1993","Päästö, tuhatta tonnia CO2-ekv. 1994","Päästö, tuhatta tonnia CO2-ekv. 1995","Päästö, tuhatta tonnia CO2-ekv. 1996","Päästö, tuhatta tonnia CO2-ekv. 1997","Päästö, tuhatta tonnia CO2-ekv. 1998","Päästö, tuhatta tonnia CO2-ekv. 1999","Päästö, tuhatta tonnia CO2-ekv. 2000","Päästö, tuhatta tonnia CO2-ekv. 2001","Päästö, tuhatta tonnia CO2-ekv. 2002","Päästö, tuhatta tonnia CO2-ekv. 2003","Päästö, tuhatta tonnia CO2-ekv. 2004","Päästö, tuhatta tonnia CO2-ekv. 2005","Päästö, tuhatta tonnia CO2-ekv. 2006","Päästö, tuhatta tonnia CO2-ekv. 2007","Päästö, tuhatta tonnia CO2-ekv. 2008","Päästö, tuhatta tonnia CO2-ekv. 2009","Päästö, tuhatta tonnia CO2-ekv. 2010","Päästö, tuhatta tonnia CO2-ekv. 2011","Päästö, tuhatta tonnia CO2-ekv. 2012","Päästö, tuhatta tonnia CO2-ekv. 2013","Päästö, tuhatta tonnia CO2-ekv. 2014","Päästö, tuhatta tonnia CO2-ekv. 2015","Päästö, tuhatta tonnia CO2-ekv. 2016","Päästö, tuhatta tonnia CO2-ekv. 2017"
"Rikkiheksafluoridi (SF6)","1 Energiasektori",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  1A1 Energiateollisuus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  1A2 Teollisuus ja rakentaminen (polttoperäiset päästöt)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  1A3 Kotimaan liikenne",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  1A4 Muut sektorit",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","     1A4a Kauppa, palvelut ja julkinen sektori",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","     1A4b Kotitaloudet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","     1A4c Maa-, metsä- ja kalatalous",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  1A5 Muu erittelemätön polttoainekäyttö",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  1B Polttoaineiden haihtumapäästöt",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","2 Teollisuusprosessit ja tuotteiden käyttö",52,40,26,20,24,37,54,50,39,31,26,26,25,26,24,22,28,19,27,27,22,24,22,31,34,38,48,50
"Rikkiheksafluoridi (SF6)","  2A Mineraaliteollisuus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  2B Kemianteollisuus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  2C Metalliteollisuus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  2D Polttoaineiden ja liuottimien muu kuin energiakäyttö",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  2F Otsonikerrosta heikentäville aineille vaihtoehtoisten tuotteiden käyttö",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  2G Muiden tuotteiden valmistus ja käyttö",45,33,18,14,17,27,21,17,15,15,7,7,8,8,8,9,8,9,9,10,10,10,10,10,11,11,11,12
"Rikkiheksafluoridi (SF6)","  2H Muut teollisuusprosessien päästöt",7,8,8,6,7,10,33,33,24,16,19,18,17,18,16,13,19,10,18,17,12,13,12,21,23,27,37,38
"Rikkiheksafluoridi (SF6)","3 Maatalous",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  3A Kotieläinten ruoansulatus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  3B Lannankäsittely",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  3D Maatalousmaat",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  3F Kasvintähteiden poltto pellolla",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  3G Kalkitus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  3H Urean levitys",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","4 Maankäyttö, maankäytön muutokset ja metsätalous (LULUCF)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4A Metsämaa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4B  Viljelysmaa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4C Ruohikkoalueet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4D Kosteikot",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4E Rakennetut alueet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4G Puutuotteet",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  4(IV) Epäsuorat N2O päästöt",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","5 Jätteiden käsittely",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  5A Jätteiden sijoittaminen kaatopaikalle",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  5B Jätteiden biologinen käsittely",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rikkiheksafluoridi (SF6)","  5D Jätevesien puhdistus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
